2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '205', `start` = '20500000', `end` = '0', `remaining_qty` = '0', `default_start` = '20500000', `default_end` = '20599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '206', `start` = '20600000', `end` = '0', `remaining_qty` = '0', `default_start` = '20600000', `default_end` = '20699999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '207', `start` = '20700000', `end` = '0', `remaining_qty` = '0', `default_start` = '20700000', `default_end` = '20799999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '208', `start` = '20800000', `end` = '0', `remaining_qty` = '0', `default_start` = '20800000', `default_end` = '20899999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '209', `start` = '20900000', `end` = '0', `remaining_qty` = '0', `default_start` = '20900000', `default_end` = '20999999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '215', `start` = '21500000', `end` = '0', `remaining_qty` = '0', `default_start` = '21500000', `default_end` = '21599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '216', `start` = '21600000', `end` = '0', `remaining_qty` = '0', `default_start` = '21600000', `default_end` = '21699999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '217', `start` = '21700000', `end` = '0', `remaining_qty` = '0', `default_start` = '21700000', `default_end` = '21799999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '218', `start` = '21800000', `end` = '0', `remaining_qty` = '0', `default_start` = '21800000', `default_end` = '21899999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '219', `start` = '21900000', `end` = '0', `remaining_qty` = '0', `default_start` = '21900000', `default_end` = '21999999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '225', `start` = '22500000', `end` = '0', `remaining_qty` = '0', `default_start` = '22500000', `default_end` = '22599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '226', `start` = '22600000', `end` = '0', `remaining_qty` = '0', `default_start` = '22600000', `default_end` = '22699999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '227', `start` = '22700000', `end` = '0', `remaining_qty` = '0', `default_start` = '22700000', `default_end` = '22799999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
